dataset,method,insample_bacc,cv_bacc,insample_mcc,cv_mcc,cv_threshold_mean,cv_threshold_sd
CAID2 Disorder-PDB,AlphaFold-disorder,0.8599525403501562,0.8609444155219352,0.7518085143595626,0.7451910534142971,0.2880924,0.03576510801102102
CAID2 Disorder-PDB,AlphaFold-rsa,0.885558562077717,0.8802124461202956,0.7864172860161942,0.7833905772111815,0.5467000000000001,0.02126993182875767
CAID2 Disorder-PDB,AIUPred,0.8228818076347754,0.8228913206560865,0.6906865204535869,0.6873011602370295,0.6735999999999999,0.018374982993189386
CAID2 Disorder-PDB,IUPred3,0.7990963928110699,0.8003291931329861,0.6501824613341868,0.6482278473728633,0.5055,0.010336827366266703
CAID2 Disorder-PDB,ESpritz-D,0.8193950676609234,0.8124953993913702,0.6251286853722247,0.6167967188521453,0.2623,0.01815516455447321
CAID2 Disorder-PDB,ESpritz-N,0.7797954329572571,0.7806159920323642,0.5864250385230173,0.584078984092599,0.3694,0.01400856880626997
CAID2 Disorder-PDB,ESpritz-X,0.7900981463703749,0.7873404303159555,0.6061984864708794,0.6007619142335234,0.0755,0.01129822994986383
CAID2 Disorder-PDB,MobiDB-lite,0.8068921123120021,0.8068921123120021,0.6320599592822318,0.6320599592822318,0.25,0.0
CAID2 Disorder-PDB,flDPnn,0.8015028705150314,0.7973785892872958,0.6117159265790623,0.595000224521186,0.1587,0.02859038299848395
CAID2 Disorder-PDB,flDPnn2,0.8165508290592991,0.8116460618306521,0.6295271926217538,0.6209976922675481,0.19690000000000002,0.013201893803541977
CAID2 Disorder-PDB,DISOPRED3-diso,0.8342723729452488,0.8314639662791998,0.703123725372706,0.6996997144239646,0.422,0.040693979898751606
CAID2 Disorder-PDB,SETH-0,0.8705572331881454,0.8700509275715915,0.7717571782727558,0.7703127401051739,0.41819999999999996,0.009484724561103509
CAID2 Disorder-PDB,SETH-1,0.8499907550674393,0.8462180205398706,0.7198693368314594,0.7132784558428691,0.4306,0.02897999309868793
CAID2 Disorder-PDB,VSL2,0.8174887783695133,0.8138844134240772,0.6532267955611228,0.6502051547916101,0.6519000000000001,0.023235533133543568
CAID2 Disorder-PDB,SPOT-Disorder,0.8740905452443164,0.8707097955396845,0.7606586642381583,0.7576781538938481,0.4095,0.039291856662672486
CAID2 Disorder-PDB,SPOT-Disorder2,0.8778513690397531,0.876295148466335,0.7866804843735857,0.7839291917057324,0.4131,0.028588284313683467
CAID2 Disorder-PDB,SPOT-Disorder-Single,0.8418985886485204,0.8442726752597847,0.7141122206697731,0.7116359204152841,0.1771,0.016537533068750006
CAID2 Disorder-PDB,DisEMBL-dis465,0.7211323379537906,0.7178359497278641,0.4635349382536073,0.4603259418222671,0.41689999999999994,0.01278632081562168
CAID2 Disorder-PDB,DisEMBL-disHL,0.6524929319584161,0.6388203603432034,0.27824526451159964,0.25667346647936096,0.078,0.02284731931759172
CAID2 Disorder-PDB,IsUnstruct,0.8060349322818219,0.8030828763416736,0.6331996078729137,0.6259129995237561,0.5967999999999999,0.04755165612257893
CAID2 Disorder-PDB,RONN,0.7726522987296112,0.7724385274917271,0.5880956019533362,0.586147255645134,0.559,0.009433981132056575
CAID2 Disorder-PDB,PreDisorder,0.80149498746697,0.8044721791097765,0.6476343099848036,0.6407212203784051,0.5566000000000001,0.01803441155125387
CAID2 Disorder-PDB,OPAL,0.6562086134517326,0.6509817039195283,0.2852273073076963,0.27558409996109146,0.5012,0.005929586832149443
CAID2 Disorder-PDB,pyHCA,0.8054541222921616,0.8029470586578424,0.646590390758886,0.6453889398171652,0.2541,0.004657252408878011
CAID2 Disorder-PDB,DeepIDP-2L,0.8512788186770857,0.8458985098100987,0.7066622315577891,0.6962808161274219,0.422,0.050641879901915175
CAID2 Disorder-PDB,PredIDR-long,0.8868186558355635,0.8828942728087483,0.7843408480002102,0.7809084970039932,0.5641999999999999,0.020663010429267045
CAID2 Disorder-PDB,PredIDR-short,0.8761905902007987,0.8774255143478423,0.7670879862580012,0.7640638153417327,0.5786999999999999,0.027459242524148376
CAID2 Disorder-PDB,AUCpred-profile,0.8494021402487398,0.8469570287005922,0.7145093475827252,0.7103540367067738,0.1643,0.07421866342100213
CAID2 Disorder-PDB,AUCpred-no-profile,0.8090771519639244,0.8017349037902453,0.6341293471644516,0.6269762733099749,0.0871,0.02792651070219837
CAID2 Disorder-PDB,DisoPred,0.8312877558158087,0.8348967166251164,0.6920638726658999,0.6833402337783304,0.43550000000000005,0.029880595710259857
CAID2 Disorder-PDB,Dispredict2,0.6155457662397759,0.6025260286899274,0.22667337275570507,0.18967346655235118,0.3352662,0.09758123468146937
CAID2 Disorder-PDB,Dispredict3,0.8136405716176267,0.8044293100827329,0.6086047925747673,0.5962405976713908,0.041499999999999995,0.01290929897399545
CAID2 Disorder-PDB,IDP-Fusion,0.8672386355245054,0.8623918341500709,0.7467792866903533,0.7412641963670095,0.5321324000000001,0.024104748889793474
