dataset,round,reference,method,kind,operating_point,d_balanced_accuracy,d_balanced_accuracy_lo,d_balanced_accuracy_hi,d_balanced_accuracy_p,d_mcc,d_mcc_lo,d_mcc_hi,d_mcc_p,d_sensitivity,d_sensitivity_lo,d_sensitivity_hi,d_sensitivity_p,d_specificity,d_specificity_lo,d_specificity_hi,d_specificity_p
CAID2 Disorder-PDB,caid2,disorder_pdb,AlphaFold-rsa,AF,literal,0.10776311828835318,0.08684085004712415,0.1304818274524108,0.001,0.10729221701992761,0.06555017404778629,0.15082148082233007,0.001,0.26886725165848957,0.22515767467291023,0.3133593294930846,0.001,-0.05334101508178323,-0.06666200731108891,-0.04139306271144989,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,AIUPred,DED,literal,0.04707604209885783,0.015055447807365493,0.07814833619395592,0.006,-0.044459491927526865,-0.10994131430234817,0.020687814948289106,0.164,0.2419412526978294,0.18149968323782123,0.3032726688641118,0.001,-0.14778916850011375,-0.17593950915798498,-0.12318202165109693,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,IUPred3,DED,literal,0.021353979415521605,-0.01262823286603501,0.05149848368008313,0.204,-0.022250637918023747,-0.08495032779694467,0.03079666696531655,0.48,0.08965319371444527,0.01977126939797064,0.15310648222330012,0.018,-0.04694523488340206,-0.06039530645104587,-0.03571747641824341,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,ESpritz-D,DED,literal,-0.13195995071764752,-0.18083505712782158,-0.08572090658678853,0.001,-0.22148595461221043,-0.30811634297741924,-0.1415293040801609,0.001,-0.2617689795257484,-0.36198197803873117,-0.17030218936687191,0.001,-0.0021509219095466312,-0.010681757020633195,0.005897017685344663,0.63
CAID2 Disorder-PDB,caid2,disorder_pdb,ESpritz-N,DED,literal,-0.04032331383370173,-0.07184092314798132,-0.012977380540743462,0.004,-0.10773812149932946,-0.1605110906382231,-0.06249069420312401,0.001,-0.04748456679163293,-0.11021425035340612,0.006930732224949472,0.086,-0.03316206087577054,-0.04031968834788279,-0.0264515515979809,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,ESpritz-X,DED,literal,-0.16593981972941688,-0.198783608688586,-0.13451706047498077,0.001,-0.2681994223512685,-0.3278941926027764,-0.2124999110672158,0.001,-0.3381213055815267,-0.40431998647780115,-0.2741459293186161,0.001,0.006241666122692958,0.001964946376997279,0.011041096204513613,0.006
CAID2 Disorder-PDB,caid2,disorder_pdb,MobiDB-lite,DED,literal,-0.04570471881270205,-0.07864020147494499,-0.01453657429558695,0.002,-0.09396173846514166,-0.14546259271088707,-0.04446885096561762,0.001,-0.07598389878252448,-0.14182553132641973,-0.01244051114132366,0.018,-0.015425538842879614,-0.021329726914427624,-0.009664601240006884,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,flDPnn,DED,literal,-0.15273511812242146,-0.19780303607427052,-0.10805127644433131,0.001,-0.24724419795920233,-0.3276069309508373,-0.16918816393816166,0.001,-0.30977184812894587,-0.40040615415546665,-0.22041399276962875,0.001,0.004301611884103011,-0.001812797680045139,0.009972095040082826,0.158
CAID2 Disorder-PDB,caid2,disorder_pdb,flDPnn2,DED,literal,-0.15281314931041412,-0.19915004159639288,-0.10262150064358229,0.001,-0.24604700128603194,-0.33150428724201697,-0.16085836651215576,0.001,-0.3105546315217585,-0.4030204067656128,-0.20969960205006596,0.001,0.004928332900930228,-0.0004850824491938188,0.010452052880601498,0.068
CAID2 Disorder-PDB,caid2,disorder_pdb,DISOPRED3-diso,DED,literal,0.0400402380513828,0.008622261385467477,0.07237234160272525,0.012,0.026822817722981885,-0.025319101270568026,0.07855653486750572,0.324,0.10726424688841876,0.04315104086001662,0.17098326862966118,0.001,-0.027183770785653164,-0.035231756618813455,-0.019845849490254606,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,SETH-0,DED,literal,0.05045932642592921,0.023971368552559335,0.07683009977376236,0.001,0.0645626817210102,0.024592286946168326,0.10642385516166271,0.002,0.10913055458973589,0.05553156230423409,0.1618564167946938,0.001,-0.008211901737877489,-0.012213524478739298,-0.003976785696092888,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,SETH-1,DED,literal,0.046173572011028945,0.020787324619373555,0.07501898940937342,0.001,0.036160519783749324,-0.009618329240898336,0.08491592121036359,0.126,0.11954004497313064,0.0676551811434452,0.17802507174933557,0.001,-0.027192900951072754,-0.03477688264869156,-0.02017935906099541,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,VSL2,DED,literal,0.033810774804662796,0.0054946827710581824,0.06087448474095777,0.014,-0.08292976058680893,-0.14366973150459167,-0.029233552885789084,0.006,0.2632921235055885,0.20835255514171117,0.3159270679926569,0.001,-0.19567057389626294,-0.2126940857412214,-0.1785160602532784,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,SPOT-Disorder,DED,literal,0.0788301432690131,0.0501995108394637,0.11027102933105978,0.001,0.08288908619770384,0.03209959667629064,0.13762512421857903,0.002,0.18820959512805546,0.13067204990358572,0.2482717550480961,0.001,-0.030549308590029262,-0.04470349927900423,-0.01848085694725108,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,SPOT-Disorder2,DED,literal,0.08013905583038014,0.051972080395210556,0.11165042782586315,0.001,0.10408435033006867,0.06018665594058259,0.15444314209743903,0.001,0.1723806706263341,0.11679095041846208,0.23584940703801519,0.001,-0.012102558965573813,-0.01856705986418449,-0.005816596340957668,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,SPOT-Disorder-Single,DED,literal,-0.01921633281047986,-0.05572522519753001,0.0132333739551989,0.256,-0.03232967478180392,-0.09018285532521833,0.016997147904741584,0.21,-0.03646123463193836,-0.10939866808247342,0.028680571344026927,0.298,-0.001971430989021349,-0.007340275353321502,0.003538952306983815,0.46
CAID2 Disorder-PDB,caid2,disorder_pdb,DisEMBL-dis465,DED,literal,-0.11204166850957568,-0.14191014982597955,-0.08312120182691828,0.001,-0.2363613723506499,-0.2884693533557588,-0.18621702246924324,0.001,-0.18782623276803487,-0.24785630421671803,-0.1292452458656167,0.001,-0.03625710425111652,-0.04289235561882285,-0.029593351492043948,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,DisEMBL-disHL,DED,literal,-0.28169464233272923,-0.3069703927556895,-0.2550446337698404,0.001,-0.6563478004798958,-0.69802504106995,-0.6118374752505614,0.001,-0.5750021855252889,-0.6249959200266427,-0.5204013589432533,0.001,0.011612900859830468,0.007635228594068711,0.016257023543787424,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,IsUnstruct,DED,literal,0.03570237869012608,0.00750558344477201,0.0617279795934251,0.016,-0.04642151031044402,-0.10443917397888015,0.002665034558127274,0.058,0.18300447740273212,0.12630142062300412,0.23557451039232527,0.001,-0.11159972002247996,-0.12653532540845486,-0.09766296792953126,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,RONN,DED,literal,0.011719736731953643,-0.01569848363022568,0.03750262422196784,0.4,-0.10148333535956588,-0.15799417743100744,-0.05141301340745674,0.001,0.16529678437148385,0.11247188548700672,0.21393704840164549,0.001,-0.14185731090757656,-0.15731486326057129,-0.12684187280138196,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,PreDisorder,DED,literal,0.0398266149243502,0.010242543774504877,0.06947962056109444,0.006,-0.06639409793571824,-0.12523028254139265,-0.011208305579734124,0.02,0.253445993890362,0.19470482724520116,0.3116266191918173,0.001,-0.1737927640416616,-0.1884514157598746,-0.1592758179852747,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,OPAL,DED,literal,-0.12529735703196845,-0.1662103033432409,-0.08247798550835823,0.001,-0.3858550794525728,-0.45317016665705223,-0.3211862198434282,0.001,0.1845555983006982,0.11228172732544058,0.25827549655847176,0.001,-0.4351503123646351,-0.47886149514084064,-0.39294700971154944,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,pyHCA,DED,literal,-0.1393445986855369,-0.18217644636089855,-0.09007348749230845,0.001,-0.22249875452534168,-0.2986297218714509,-0.14043476596476537,0.001,-0.2826830130860628,-0.3687757722621124,-0.18485020468552904,0.001,0.003993815714989043,-0.0005813591160196668,0.008783562042552776,0.094
CAID2 Disorder-PDB,caid2,disorder_pdb,DeepIDP-2L,DED,literal,0.052012046547728334,0.02200923560509742,0.07980340131708559,0.001,0.026796693285968107,-0.02631229729838779,0.0744559876448544,0.306,0.1502169209102416,0.09045744920245362,0.2073068552053622,0.001,-0.046192827814784926,-0.06141468723252991,-0.033048658845548085,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,PredIDR-long,DED,literal,0.10918192299556224,0.08456865654297169,0.1345318241941553,0.001,0.1019064298612675,0.05213431552753627,0.15206977734630553,0.001,0.2818643210315843,0.2311868106434896,0.33102608098026526,0.001,-0.0635004750404598,-0.07579965163193647,-0.05014410591188899,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,PredIDR-short,DED,literal,0.10397259310697185,0.07950110010078994,0.12903396242170012,0.001,0.08452151417270423,0.03509024044676203,0.13316685336923323,0.004,0.284954544478239,0.23550944920297856,0.3337405697645126,0.001,-0.07700935826429532,-0.09023275673361313,-0.06335138986798142,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,AUCpred-profile,DED,literal,0.046734727904182566,0.01964795105437159,0.07148652392347628,0.001,0.03187837640689815,-0.012613616563829862,0.07340540689994446,0.154,0.12565794762202143,0.06990899209763435,0.1748039557729492,0.001,-0.0321884918136563,-0.0422028792347239,-0.02413475605593618,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,AUCpred-no-profile,DED,literal,-0.021212592756659588,-0.05048938536785293,0.007112935684984345,0.14,-0.06125519854149813,-0.10724154870628992,-0.016210002580878683,0.01,-0.021894805332274545,-0.08181661125996333,0.036657143686016753,0.456,-0.020530380181044628,-0.028086170320651124,-0.013944054979479406,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,DisoPred,DED,literal,0.034092945449173545,-0.0007484893628122487,0.06455058081062033,0.054,0.012460837680708175,-0.04562485287680652,0.06479472278448181,0.65,0.1003542113544726,0.028450492129389295,0.16276738585794628,0.002,-0.032168320456125485,-0.0455167340870105,-0.02089368707576108,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,Dispredict2,DED,literal,-0.19575258864644549,-0.2332596824460073,-0.15507334654261803,0.001,-0.46507484980330394,-0.5437253760229261,-0.38035438441397545,0.001,-0.27906279470699713,-0.35258867473775946,-0.20297160313059023,0.001,-0.11244238258589388,-0.14494939094615528,-0.08302360812765688,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,Dispredict3,DED,literal,-0.13724321495971284,-0.18180464278742742,-0.0893305659737147,0.001,-0.23221564498755987,-0.3149802266486442,-0.14999792693641134,0.001,-0.27193336687936254,-0.36241825268006755,-0.1762383648876701,0.001,-0.002553063040063132,-0.010152967470256413,0.0042771179427286985,0.498
CAID2 Disorder-PDB,caid2,disorder_pdb,IDP-Fusion,DED,literal,0.08866066123153878,0.06154430227624595,0.11788142593471572,0.001,0.07316619375310827,0.021587052846617646,0.12449040035494432,0.004,0.23655433757820055,0.18217972918186076,0.2939197628029177,0.001,-0.059233015115122994,-0.07654028705083701,-0.04572312117509191,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,rawMSA,DED,literal,0.04632611855161309,-0.0003139164756305461,0.0885843875326418,0.056,0.02165270826382465,-0.05860646247421283,0.09308489526451441,0.55,0.13497213051713378,0.03870297838787355,0.218591679329064,0.006,-0.042319893413907614,-0.06330197530280139,-0.02620177717988867,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,metapredict,DED,literal,0.08203852900911107,0.05403278873761883,0.1120128034557047,0.001,0.09019903245938905,0.043258451221851194,0.13873385835592486,0.001,0.19197623821902107,0.1365780811204614,0.252821613782587,0.001,-0.02789918020079895,-0.03626142116375008,-0.02007134288359233,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,disomine,DED,literal,-0.10031511564146355,-0.147754424672867,-0.0469296045711146,0.001,-0.19260147223189378,-0.2831009002816684,-0.09753049490352565,0.001,-0.18128004780872406,-0.2796618262709511,-0.07448847926185448,0.001,-0.019350183474203055,-0.03555538435462868,-0.00680251499258464,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,s2D,DED,literal,-0.06762630547593429,-0.09454704073743678,-0.0438360416269679,0.001,-0.2806197521339858,-0.338985601587555,-0.2307361678909082,0.001,0.19698047913336852,0.14328915196651001,0.2437561810956094,0.001,-0.33223309008523716,-0.35327098287735437,-0.31105623344436345,0.001
