dataset,round,reference,plddt_cutoff,sensitivity,specificity,balanced_accuracy,mcc,sensitivity_long
CAID2 Disorder-PDB,caid2,disorder_pdb,5.0,0.0,1.0,0.5,,0.0
CAID2 Disorder-PDB,caid2,disorder_pdb,6.0,0.0,1.0,0.5,,0.0
CAID2 Disorder-PDB,caid2,disorder_pdb,7.0,0.0,1.0,0.5,,0.0
CAID2 Disorder-PDB,caid2,disorder_pdb,8.0,0.0,1.0,0.5,,0.0
CAID2 Disorder-PDB,caid2,disorder_pdb,9.0,0.0,1.0,0.5,,0.0
CAID2 Disorder-PDB,caid2,disorder_pdb,10.0,0.0,1.0,0.5,,0.0
CAID2 Disorder-PDB,caid2,disorder_pdb,11.0,0.0,1.0,0.5,,0.0
CAID2 Disorder-PDB,caid2,disorder_pdb,12.0,0.0,1.0,0.5,,0.0
CAID2 Disorder-PDB,caid2,disorder_pdb,13.0,0.0,1.0,0.5,,0.0
CAID2 Disorder-PDB,caid2,disorder_pdb,14.0,0.0,1.0,0.5,,0.0
CAID2 Disorder-PDB,caid2,disorder_pdb,15.0,0.0,1.0,0.5,,0.0
CAID2 Disorder-PDB,caid2,disorder_pdb,16.0,0.0,1.0,0.5,,0.0
CAID2 Disorder-PDB,caid2,disorder_pdb,17.0,0.0,1.0,0.5,,0.0
CAID2 Disorder-PDB,caid2,disorder_pdb,18.0,0.0,1.0,0.5,,0.0
CAID2 Disorder-PDB,caid2,disorder_pdb,19.0,4.367956669869835e-05,1.0,0.5000218397833494,0.0055536319078015,0.0
CAID2 Disorder-PDB,caid2,disorder_pdb,20.0,0.0002620774001921901,1.0,0.5001310387000961,0.013604000996966278,0.0
CAID2 Disorder-PDB,caid2,disorder_pdb,21.0,0.0006115139337817769,1.0,0.5003057569668908,0.020781521984719244,0.0002537684616555854
CAID2 Disorder-PDB,caid2,disorder_pdb,22.0,0.0011793483008648554,1.0,0.5005896741504324,0.028862334982436417,0.0008120590772978735
CAID2 Disorder-PDB,caid2,disorder_pdb,23.0,0.002664453568620599,1.0,0.5013322267843103,0.0433919660977953,0.002385423539562503
CAID2 Disorder-PDB,caid2,disorder_pdb,24.0,0.005896741504324277,0.9999636396691209,0.5029301905867226,0.06371530901213303,0.005938182002740699
CAID2 Disorder-PDB,caid2,disorder_pdb,25.0,0.011968201275443348,0.9999090991728025,0.5059386502241229,0.09057133004684122,0.012333147236461452
CAID2 Disorder-PDB,caid2,disorder_pdb,26.0,0.02070411461518302,0.9996909371875284,0.5101975259013557,0.11739593715770168,0.02162107293305588
CAID2 Disorder-PDB,caid2,disorder_pdb,27.0,0.031405608456364115,0.9994909553676938,0.515448281912029,0.144423614641179,0.03309140739988834
CAID2 Disorder-PDB,caid2,disorder_pdb,28.0,0.0449025945662619,0.9993818743750568,0.5221422344706593,0.17396661226990268,0.04730244125260113
CAID2 Disorder-PDB,caid2,disorder_pdb,29.0,0.05953524941032585,0.9991818925552223,0.5293585709827741,0.20077994702602492,0.06273156372126072
CAID2 Disorder-PDB,caid2,disorder_pdb,30.0,0.0767013191229143,0.9988910099081901,0.5377961645155522,0.2281503956018266,0.08100289296046287
CAID2 Disorder-PDB,caid2,disorder_pdb,31.0,0.09675024023761684,0.9985274065994001,0.5476388234185084,0.25662412983864014,0.10242095112419429
CAID2 Disorder-PDB,caid2,disorder_pdb,32.0,0.12151655455577881,0.9981092627942915,0.5598129086750352,0.288516337971656,0.12845759529005735
