dataset,method,kind,operating_point,threshold,stratum,local_recall,local_specificity,local_bacc,local_bacc_lo,local_bacc_hi,local_mcc,n_pos,n_neg
CAID2 Disorder-PDB,AlphaFold-disorder,AF,literal,0.5,short_lt20,0.39254658385093166,0.9710031347962382,0.681774859323585,0.6488316436581404,0.7136651445643213,0.42786442922655055,1610,1276
CAID2 Disorder-PDB,AlphaFold-disorder,AF,literal,0.5,mid_20_30,0.48513598987982287,0.9781659388646288,0.7316509643722258,0.6845560788171655,0.7758496303805974,0.5036652184012836,1581,1145
CAID2 Disorder-PDB,AlphaFold-disorder,AF,literal,0.5,long_gt30,0.5980815104298838,0.9543328135442192,0.7762071619870514,0.741439569569774,0.8078559434592588,0.4295177607858333,19703,4489
CAID2 Disorder-PDB,AlphaFold-disorder,AF,calibrated,0.308,short_lt20,0.6527950310559006,0.8894984326018809,0.7711467318288907,0.7371124762615178,0.8029717439089997,0.5469880196687041,1610,1276
CAID2 Disorder-PDB,AlphaFold-disorder,AF,calibrated,0.308,mid_20_30,0.6913345983554712,0.9179039301310044,0.8046192642432377,0.756889552346322,0.8479713410057697,0.6064728581605339,1581,1145
CAID2 Disorder-PDB,AlphaFold-disorder,AF,calibrated,0.308,long_gt30,0.7788661625133229,0.8924036533749165,0.8356349079441197,0.8014825113185952,0.8648722025927137,0.5486941282577726,19703,4489
CAID2 Disorder-PDB,AlphaFold-rsa,AF,literal,0.5,short_lt20,0.598136645962733,0.762539184952978,0.6803379154578555,0.6530601637990192,0.7079561764246111,0.3609781842567699,1610,1276
CAID2 Disorder-PDB,AlphaFold-rsa,AF,literal,0.5,mid_20_30,0.7229601518026565,0.8096069868995633,0.7662835693511099,0.7240253366616212,0.8060486008775632,0.5257117155359043,1581,1145
CAID2 Disorder-PDB,AlphaFold-rsa,AF,literal,0.5,long_gt30,0.8740800893264985,0.7665404321675207,0.8203102607470096,0.7790527685543392,0.8572516509942155,0.5792130694852221,19703,4489
CAID2 Disorder-PDB,AlphaFold-rsa,AF,calibrated,0.533,short_lt20,0.55527950310559,0.8260188087774295,0.6906491559415098,0.6617381078695177,0.7194992960161889,0.3888520807934902,1610,1276
CAID2 Disorder-PDB,AlphaFold-rsa,AF,calibrated,0.533,mid_20_30,0.6805819101834282,0.868122270742358,0.7743520904628931,0.7289354963928965,0.817759453019047,0.5443570475242249,1581,1145
