dataset,method,kind,operating_point,lo,hi,n_residues,recall
CAID2 Disorder-PDB,AlphaFold-disorder,AF,calibrated,1,5,0,
CAID2 Disorder-PDB,AlphaFold-disorder,AF,calibrated,6,10,160,0.66875
CAID2 Disorder-PDB,AlphaFold-disorder,AF,calibrated,11,15,898,0.6224944320712695
CAID2 Disorder-PDB,AlphaFold-disorder,AF,calibrated,16,20,752,0.6715425531914894
CAID2 Disorder-PDB,AlphaFold-disorder,AF,calibrated,21,30,1381,0.7045619116582187
CAID2 Disorder-PDB,AlphaFold-disorder,AF,calibrated,31,50,1665,0.669069069069069
CAID2 Disorder-PDB,AlphaFold-disorder,AF,calibrated,51,100,3649,0.810084954782132
CAID2 Disorder-PDB,AlphaFold-disorder,AF,calibrated,101,200,3672,0.7943899782135077
CAID2 Disorder-PDB,AlphaFold-disorder,AF,calibrated,201,-1,10717,0.7799757394793319
CAID2 Disorder-PDB,AlphaFold-rsa,AF,calibrated,1,5,0,
CAID2 Disorder-PDB,AlphaFold-rsa,AF,calibrated,6,10,160,0.625
CAID2 Disorder-PDB,AlphaFold-rsa,AF,calibrated,11,15,898,0.5066815144766147
CAID2 Disorder-PDB,AlphaFold-rsa,AF,calibrated,16,20,752,0.5518617021276596
CAID2 Disorder-PDB,AlphaFold-rsa,AF,calibrated,21,30,1381,0.724112961622013
CAID2 Disorder-PDB,AlphaFold-rsa,AF,calibrated,31,50,1665,0.7141141141141141
CAID2 Disorder-PDB,AlphaFold-rsa,AF,calibrated,51,100,3649,0.8846259249109345
CAID2 Disorder-PDB,AlphaFold-rsa,AF,calibrated,101,200,3672,0.9022331154684096
CAID2 Disorder-PDB,AlphaFold-rsa,AF,calibrated,201,-1,10717,0.8462256228422133
CAID2 Disorder-PDB,AIUPred,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,AIUPred,DED,calibrated,6,10,160,0.3625
CAID2 Disorder-PDB,AIUPred,DED,calibrated,11,15,898,0.321826280623608
CAID2 Disorder-PDB,AIUPred,DED,calibrated,16,20,752,0.3324468085106383
CAID2 Disorder-PDB,AIUPred,DED,calibrated,21,30,1381,0.39753801593048516
CAID2 Disorder-PDB,AIUPred,DED,calibrated,31,50,1665,0.3927927927927928
CAID2 Disorder-PDB,AIUPred,DED,calibrated,51,100,3649,0.6911482597972047
CAID2 Disorder-PDB,AIUPred,DED,calibrated,101,200,3672,0.741557734204793
CAID2 Disorder-PDB,AIUPred,DED,calibrated,201,-1,10717,0.8253242511896987
CAID2 Disorder-PDB,IUPred3,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,IUPred3,DED,calibrated,6,10,160,0.4
CAID2 Disorder-PDB,IUPred3,DED,calibrated,11,15,898,0.366369710467706
CAID2 Disorder-PDB,IUPred3,DED,calibrated,16,20,752,0.39361702127659576
CAID2 Disorder-PDB,IUPred3,DED,calibrated,21,30,1381,0.38377986965966693
CAID2 Disorder-PDB,IUPred3,DED,calibrated,31,50,1665,0.35195195195195195
CAID2 Disorder-PDB,IUPred3,DED,calibrated,51,100,3649,0.6144149081940258
CAID2 Disorder-PDB,IUPred3,DED,calibrated,101,200,3672,0.6870915032679739
CAID2 Disorder-PDB,IUPred3,DED,calibrated,201,-1,10717,0.7749370159559579
CAID2 Disorder-PDB,ESpritz-D,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,ESpritz-D,DED,calibrated,6,10,160,0.5125
CAID2 Disorder-PDB,ESpritz-D,DED,calibrated,11,15,898,0.3596881959910913
CAID2 Disorder-PDB,ESpritz-D,DED,calibrated,16,20,752,0.40425531914893614
CAID2 Disorder-PDB,ESpritz-D,DED,calibrated,21,30,1381,0.47501810282404056
