dataset,method,kind,operating_point,stratum,n_regions,detection_rate,mean_overlap
CAID2 Disorder-PDB,AlphaFold-disorder,AF,literal,short_lt20,118,0.4322033898305085,0.38910693086947223
CAID2 Disorder-PDB,AlphaFold-disorder,AF,literal,mid_20_30,64,0.5,0.47499038173689134
CAID2 Disorder-PDB,AlphaFold-disorder,AF,literal,long_gt30,153,0.6013071895424836,0.572959620179076
CAID2 Disorder-PDB,AlphaFold-disorder,AF,calibrated,short_lt20,118,0.6610169491525424,0.6463105836459461
CAID2 Disorder-PDB,AlphaFold-disorder,AF,calibrated,mid_20_30,64,0.71875,0.6831474214044257
CAID2 Disorder-PDB,AlphaFold-disorder,AF,calibrated,long_gt30,153,0.7973856209150327,0.7572371104093437
CAID2 Disorder-PDB,AlphaFold-rsa,AF,literal,short_lt20,118,0.6101694915254238,0.5881376717057176
CAID2 Disorder-PDB,AlphaFold-rsa,AF,literal,mid_20_30,64,0.765625,0.7122168259183346
CAID2 Disorder-PDB,AlphaFold-rsa,AF,literal,long_gt30,153,0.8758169934640523,0.8579136997159477
CAID2 Disorder-PDB,AlphaFold-rsa,AF,calibrated,short_lt20,118,0.559322033898305,0.5467475980200962
CAID2 Disorder-PDB,AlphaFold-rsa,AF,calibrated,mid_20_30,64,0.734375,0.6694901445736575
CAID2 Disorder-PDB,AlphaFold-rsa,AF,calibrated,long_gt30,153,0.8627450980392157,0.8358507012191227
CAID2 Disorder-PDB,AIUPred,DED,literal,short_lt20,118,0.5677966101694916,0.5562496542349746
CAID2 Disorder-PDB,AIUPred,DED,literal,mid_20_30,64,0.625,0.588899613313383
CAID2 Disorder-PDB,AIUPred,DED,literal,long_gt30,153,0.8235294117647058,0.7896216144448672
CAID2 Disorder-PDB,AIUPred,DED,calibrated,short_lt20,118,0.3474576271186441,0.32980500860610534
CAID2 Disorder-PDB,AIUPred,DED,calibrated,mid_20_30,64,0.390625,0.39065159915914227
CAID2 Disorder-PDB,AIUPred,DED,calibrated,long_gt30,153,0.6405228758169934,0.6337390219270618
CAID2 Disorder-PDB,IUPred3,DED,literal,short_lt20,118,0.423728813559322,0.4018655808008146
CAID2 Disorder-PDB,IUPred3,DED,literal,mid_20_30,64,0.40625,0.39192891012348474
