dataset,method,kind,operating_point,min_overlap,stratum,n_regions,detection_rate
CAID2 Disorder-PDB,AlphaFold-disorder,AF,literal,0.25,short_lt20,118,0.5338983050847458
CAID2 Disorder-PDB,AlphaFold-disorder,AF,literal,0.25,mid_20_30,64,0.640625
CAID2 Disorder-PDB,AlphaFold-disorder,AF,literal,0.25,long_gt30,153,0.7647058823529411
CAID2 Disorder-PDB,AlphaFold-disorder,AF,literal,0.5,short_lt20,118,0.4322033898305085
CAID2 Disorder-PDB,AlphaFold-disorder,AF,literal,0.5,mid_20_30,64,0.5
CAID2 Disorder-PDB,AlphaFold-disorder,AF,literal,0.5,long_gt30,153,0.6013071895424836
CAID2 Disorder-PDB,AlphaFold-disorder,AF,literal,0.75,short_lt20,118,0.23728813559322035
CAID2 Disorder-PDB,AlphaFold-disorder,AF,literal,0.75,mid_20_30,64,0.34375
CAID2 Disorder-PDB,AlphaFold-disorder,AF,literal,0.75,long_gt30,153,0.43790849673202614
CAID2 Disorder-PDB,AlphaFold-disorder,AF,calibrated,0.25,short_lt20,118,0.7372881355932204
CAID2 Disorder-PDB,AlphaFold-disorder,AF,calibrated,0.25,mid_20_30,64,0.796875
CAID2 Disorder-PDB,AlphaFold-disorder,AF,calibrated,0.25,long_gt30,153,0.869281045751634
CAID2 Disorder-PDB,AlphaFold-disorder,AF,calibrated,0.5,short_lt20,118,0.6610169491525424
CAID2 Disorder-PDB,AlphaFold-disorder,AF,calibrated,0.5,mid_20_30,64,0.71875
CAID2 Disorder-PDB,AlphaFold-disorder,AF,calibrated,0.5,long_gt30,153,0.7973856209150327
CAID2 Disorder-PDB,AlphaFold-disorder,AF,calibrated,0.75,short_lt20,118,0.576271186440678
CAID2 Disorder-PDB,AlphaFold-disorder,AF,calibrated,0.75,mid_20_30,64,0.625
CAID2 Disorder-PDB,AlphaFold-disorder,AF,calibrated,0.75,long_gt30,153,0.6405228758169934
CAID2 Disorder-PDB,AlphaFold-rsa,AF,literal,0.25,short_lt20,118,0.635593220338983
CAID2 Disorder-PDB,AlphaFold-rsa,AF,literal,0.25,mid_20_30,64,0.78125
CAID2 Disorder-PDB,AlphaFold-rsa,AF,literal,0.25,long_gt30,153,0.9281045751633987
CAID2 Disorder-PDB,AlphaFold-rsa,AF,literal,0.5,short_lt20,118,0.6101694915254238
CAID2 Disorder-PDB,AlphaFold-rsa,AF,literal,0.5,mid_20_30,64,0.765625
CAID2 Disorder-PDB,AlphaFold-rsa,AF,literal,0.5,long_gt30,153,0.8758169934640523
CAID2 Disorder-PDB,AlphaFold-rsa,AF,literal,0.75,short_lt20,118,0.5508474576271186
CAID2 Disorder-PDB,AlphaFold-rsa,AF,literal,0.75,mid_20_30,64,0.671875
CAID2 Disorder-PDB,AlphaFold-rsa,AF,literal,0.75,long_gt30,153,0.8104575163398693
CAID2 Disorder-PDB,AlphaFold-rsa,AF,calibrated,0.25,short_lt20,118,0.5932203389830508
CAID2 Disorder-PDB,AlphaFold-rsa,AF,calibrated,0.25,mid_20_30,64,0.765625
CAID2 Disorder-PDB,AlphaFold-rsa,AF,calibrated,0.25,long_gt30,153,0.9215686274509803
CAID2 Disorder-PDB,AlphaFold-rsa,AF,calibrated,0.5,short_lt20,118,0.559322033898305
CAID2 Disorder-PDB,AlphaFold-rsa,AF,calibrated,0.5,mid_20_30,64,0.734375
CAID2 Disorder-PDB,AlphaFold-rsa,AF,calibrated,0.5,long_gt30,153,0.8627450980392157
CAID2 Disorder-PDB,AlphaFold-rsa,AF,calibrated,0.75,short_lt20,118,0.5169491525423728
CAID2 Disorder-PDB,AlphaFold-rsa,AF,calibrated,0.75,mid_20_30,64,0.625
CAID2 Disorder-PDB,AlphaFold-rsa,AF,calibrated,0.75,long_gt30,153,0.7777777777777778
CAID2 Disorder-PDB,AIUPred,DED,literal,0.25,short_lt20,118,0.6186440677966102
CAID2 Disorder-PDB,AIUPred,DED,literal,0.25,mid_20_30,64,0.65625
CAID2 Disorder-PDB,AIUPred,DED,literal,0.25,long_gt30,153,0.9084967320261438
CAID2 Disorder-PDB,AIUPred,DED,literal,0.5,short_lt20,118,0.5677966101694916
CAID2 Disorder-PDB,AIUPred,DED,literal,0.5,mid_20_30,64,0.625
CAID2 Disorder-PDB,AIUPred,DED,literal,0.5,long_gt30,153,0.8235294117647058
CAID2 Disorder-PDB,AIUPred,DED,literal,0.75,short_lt20,118,0.5084745762711864
CAID2 Disorder-PDB,AIUPred,DED,literal,0.75,mid_20_30,64,0.515625
CAID2 Disorder-PDB,AIUPred,DED,literal,0.75,long_gt30,153,0.7058823529411765
CAID2 Disorder-PDB,AIUPred,DED,calibrated,0.25,short_lt20,118,0.3898305084745763
CAID2 Disorder-PDB,AIUPred,DED,calibrated,0.25,mid_20_30,64,0.484375
CAID2 Disorder-PDB,AIUPred,DED,calibrated,0.25,long_gt30,153,0.7647058823529411
CAID2 Disorder-PDB,AIUPred,DED,calibrated,0.5,short_lt20,118,0.3474576271186441
CAID2 Disorder-PDB,AIUPred,DED,calibrated,0.5,mid_20_30,64,0.390625
CAID2 Disorder-PDB,AIUPred,DED,calibrated,0.5,long_gt30,153,0.6405228758169934
CAID2 Disorder-PDB,AIUPred,DED,calibrated,0.75,short_lt20,118,0.2711864406779661
CAID2 Disorder-PDB,AIUPred,DED,calibrated,0.75,mid_20_30,64,0.3125
CAID2 Disorder-PDB,AIUPred,DED,calibrated,0.75,long_gt30,153,0.5555555555555556
CAID2 Disorder-PDB,IUPred3,DED,literal,0.25,short_lt20,118,0.5423728813559322
CAID2 Disorder-PDB,IUPred3,DED,literal,0.25,mid_20_30,64,0.53125
CAID2 Disorder-PDB,IUPred3,DED,literal,0.25,long_gt30,153,0.7516339869281046
CAID2 Disorder-PDB,IUPred3,DED,literal,0.5,short_lt20,118,0.423728813559322
CAID2 Disorder-PDB,IUPred3,DED,literal,0.5,mid_20_30,64,0.40625
CAID2 Disorder-PDB,IUPred3,DED,literal,0.5,long_gt30,153,0.6078431372549019
CAID2 Disorder-PDB,IUPred3,DED,literal,0.75,short_lt20,118,0.2627118644067797
CAID2 Disorder-PDB,IUPred3,DED,literal,0.75,mid_20_30,64,0.25
CAID2 Disorder-PDB,IUPred3,DED,literal,0.75,long_gt30,153,0.45751633986928103
CAID2 Disorder-PDB,IUPred3,DED,calibrated,0.25,short_lt20,118,0.5338983050847458
CAID2 Disorder-PDB,IUPred3,DED,calibrated,0.25,mid_20_30,64,0.53125
CAID2 Disorder-PDB,IUPred3,DED,calibrated,0.25,long_gt30,153,0.7320261437908496
CAID2 Disorder-PDB,IUPred3,DED,calibrated,0.5,short_lt20,118,0.3983050847457627
CAID2 Disorder-PDB,IUPred3,DED,calibrated,0.5,mid_20_30,64,0.390625
CAID2 Disorder-PDB,IUPred3,DED,calibrated,0.5,long_gt30,153,0.5947712418300654
CAID2 Disorder-PDB,IUPred3,DED,calibrated,0.75,short_lt20,118,0.2542372881355932
CAID2 Disorder-PDB,IUPred3,DED,calibrated,0.75,mid_20_30,64,0.21875
CAID2 Disorder-PDB,IUPred3,DED,calibrated,0.75,long_gt30,153,0.4444444444444444
CAID2 Disorder-PDB,ESpritz-D,DED,literal,0.25,short_lt20,118,0.1016949152542373
CAID2 Disorder-PDB,ESpritz-D,DED,literal,0.25,mid_20_30,64,0.078125
CAID2 Disorder-PDB,ESpritz-D,DED,literal,0.25,long_gt30,153,0.42483660130718953
CAID2 Disorder-PDB,ESpritz-D,DED,literal,0.5,short_lt20,118,0.09322033898305085
