dataset,stratum,n_residues,p_disordered,auc_rsa_within,auc_plddt_within
CAID2 Disorder-PDB,pLDDT 0-50,19986,0.9482137496247374,0.8238909840583801,0.5954990983009338
CAID2 Disorder-PDB,pLDDT 50-70,8012,0.6592611083374937,0.8774453401565552,0.6820811629295349
CAID2 Disorder-PDB,pLDDT 70-90,23370,0.18703465982028242,0.8152620196342468,0.6645898222923279
CAID2 Disorder-PDB,pLDDT 90-101,52377,0.04700536495026443,0.7330492734909058,0.6532845497131348
CAID2 Disorder-NOX,pLDDT 0-50,43477,0.3679186696414196,0.5588574409484863,0.440349817276001
CAID2 Disorder-NOX,pLDDT 50-70,11573,0.382182666551456,0.6891224384307861,0.5561714768409729
CAID2 Disorder-NOX,pLDDT 70-90,24740,0.1406224737267583,0.7770867347717285,0.6436099410057068
CAID2 Disorder-NOX,pLDDT 90-101,29943,0.06418862505426978,0.6741495132446289,0.5319741368293762
CAID3 Disorder-PDB,pLDDT 0-50,20196,0.9320657555951674,0.829156756401062,0.6282557249069214
CAID3 Disorder-PDB,pLDDT 50-70,9314,0.6682413570968435,0.9005561470985413,0.6697010397911072
CAID3 Disorder-PDB,pLDDT 70-90,20534,0.21408395831304178,0.8181885480880737,0.6338315606117249
CAID3 Disorder-PDB,pLDDT 90-101,49195,0.03978046549446082,0.7734501957893372,0.6768794059753418
CAID3 Disorder-NOX,pLDDT 0-50,34142,0.4857067541444555,0.6209561228752136,0.48440298438072205
CAID3 Disorder-NOX,pLDDT 50-70,12590,0.40810166799046865,0.8287476897239685,0.5876650214195251
CAID3 Disorder-NOX,pLDDT 70-90,20641,0.16312194176638728,0.7988487482070923,0.6042115688323975
CAID3 Disorder-NOX,pLDDT 90-101,32604,0.03922831554410502,0.7542042136192322,0.6477757096290588
