dataset,stratum,n_residues,frac,mean_plddt,median_plddt,mean_rsa,median_rsa,frac_buried_rsa_lt_0.25,mean_rel_dist_to_terminus,median_region_length
CAID2 Disorder-PDB,TP,17186,0.18871197979576151,37.08292770385742,36.779998779296875,0.6456393003463745,0.6305663585662842,0.018154311649016642,0.22559738351856823,214.0
CAID2 Disorder-PDB,FN,10428,0.1145053255737345,73.50054931640625,74.44000244140625,0.46307173371315,0.46653199195861816,0.23177982355197546,0.23091341571040266,125.0
CAID2 Disorder-PDB,FP,780,0.008564840232787965,40.76498794555664,40.90999984741211,0.5942108631134033,0.5893821716308594,0.08205128205128205,0.21549324125990782,
CAID2 Disorder-PDB,TN,62676,0.688217854397716,91.11412811279297,93.75,0.2521195709705353,0.19703717529773712,0.5704256812815113,0.2556125080346524,
CAID2 Disorder-NOX,TP,14442,0.1539855845097454,37.21805191040039,36.939998626708984,0.6460427045822144,0.6307426691055298,0.016618196925633568,0.23601814725495956,239.0
CAID2 Disorder-NOX,FN,8359,0.08912654070883269,73.08197784423828,73.62000274658203,0.473582923412323,0.4816001355648041,0.21784902500299078,0.23383586787468438,161.0
CAID2 Disorder-NOX,FP,21984,0.23440098946560328,36.62042999267578,36.279998779296875,0.6481228470802307,0.6305616497993469,0.014601528384279475,0.25085950467381957,
CAID2 Disorder-NOX,TN,49003,0.5224868853158187,85.67822265625,89.87999725341797,0.31158843636512756,0.2776225507259369,0.4642776972838398,0.2549327096626678,
CAID3 Disorder-PDB,TP,18037,0.19195445112541903,37.02251052856445,36.5,0.6376765370368958,0.624029815196991,0.027221821810722403,0.22115238494664569,170.0
CAID3 Disorder-PDB,FN,12202,0.12985686159740328,71.41903686523438,70.27999877929688,0.4918619692325592,0.49366989731788635,0.19193574823799378,0.23717858056520566,110.0
CAID3 Disorder-PDB,FP,886,0.00942904272867557,41.44175720214844,42.51499938964844,0.5468316674232483,0.5445812940597534,0.13882618510158012,0.23946912135764625,
CAID3 Disorder-PDB,TN,62840,0.6687596445485021,91.90972137451172,94.55999755859375,0.25548484921455383,0.20261149108409882,0.5612507956715468,0.2678877324189962,
CAID3 Disorder-NOX,TP,15962,0.18084178326630035,36.77264404296875,36.15999984741211,0.6364861130714417,0.6212023496627808,0.026249843378022802,0.22732168819217952,205.0
CAID3 Disorder-NOX,FN,9417,0.1066900810060613,70.0584716796875,68.0,0.5124852061271667,0.5179184675216675,0.1664011893384305,0.2342687789852865,146.0
CAID3 Disorder-NOX,FP,14374,0.16285050699597803,36.448612213134766,35.84000015258789,0.6204552054405212,0.6044920086860657,0.03645470989286211,0.23555121602410964,
CAID3 Disorder-NOX,TN,48512,0.5496176287316603,88.38085174560547,92.30999755859375,0.2910081446170807,0.25035327672958374,0.49954650395778366,0.26306382164042946,
