dataset,plddt_lo,plddt_hi,n_residues,frac_of_all,p_disordered
CAID2 Disorder-PDB,0,5,0,0.0,
CAID2 Disorder-PDB,5,10,0,0.0,
CAID2 Disorder-PDB,10,15,0,0.0,
CAID2 Disorder-PDB,15,20,25,0.00024097546869728662,1.0
CAID2 Disorder-PDB,20,25,498,0.00480023133644995,0.9819277108433735
CAID2 Disorder-PDB,25,30,2782,0.026815750156634056,0.9586628324946082
CAID2 Disorder-PDB,30,35,4888,0.04711552363969348,0.9629705400981997
CAID2 Disorder-PDB,35,40,5033,0.048513181358137744,0.9525134114842042
CAID2 Disorder-PDB,40,45,3877,0.03737047568557521,0.942739231364457
CAID2 Disorder-PDB,45,50,2883,0.027789291050171094,0.9066944155393687
CAID2 Disorder-PDB,50,55,2290,0.022073352932671455,0.8262008733624454
CAID2 Disorder-PDB,55,60,1903,0.018343052677237456,0.7256962690488702
CAID2 Disorder-PDB,60,65,1819,0.017533375102414574,0.5909840571742716
CAID2 Disorder-PDB,65,70,2000,0.01927803749578293,0.467
CAID2 Disorder-PDB,70,75,2367,0.022815557376259097,0.3929024081115336
CAID2 Disorder-PDB,75,80,3359,0.03237746397416743,0.29532598987793984
CAID2 Disorder-PDB,80,85,6028,0.058104005012289746,0.17800265428002654
CAID2 Disorder-PDB,85,90,11616,0.11196684177550725,0.1184573002754821
CAID2 Disorder-PDB,90,95,21317,0.20547496264880236,0.0697096214289065
CAID2 Disorder-PDB,95,100,31060,0.2993879223095089,0.03142305215711526
CAID2 Disorder-NOX,0,5,0,0.0,
CAID2 Disorder-NOX,5,10,0,0.0,
CAID2 Disorder-NOX,10,15,0,0.0,
CAID2 Disorder-NOX,15,20,12,0.00010935634676897561,0.75
CAID2 Disorder-NOX,20,25,1106,0.010079009960540584,0.29294755877034356
CAID2 Disorder-NOX,25,30,7265,0.06620615493971731,0.29759119064005507
CAID2 Disorder-NOX,30,35,11479,0.10460845871342259,0.3469814443766879
CAID2 Disorder-NOX,35,40,11003,0.10027065695825321,0.3746251022448423
CAID2 Disorder-NOX,40,45,7664,0.06984225346978576,0.4110125260960334
CAID2 Disorder-NOX,45,50,4948,0.04509126698440761,0.45392077607113984
CAID2 Disorder-NOX,50,55,3688,0.03360885057366517,0.43275488069414314
CAID2 Disorder-NOX,55,60,2937,0.026764965871706778,0.390194075587334
CAID2 Disorder-NOX,60,65,2484,0.02263676378117795,0.36191626409017713
CAID2 Disorder-NOX,65,70,2464,0.022454503203229656,0.31737012987012986
CAID2 Disorder-NOX,70,75,2914,0.026555366207066243,0.26355525051475637
CAID2 Disorder-NOX,75,80,3753,0.03420119745199712,0.21342925659472423
CAID2 Disorder-NOX,80,85,6423,0.05853298460809419,0.13467227152420988
CAID2 Disorder-NOX,85,90,11650,0.10616678665488048,0.08969957081545064
CAID2 Disorder-NOX,90,95,17128,0.15608795895491784,0.06790051377860813
CAID2 Disorder-NOX,95,100,12815,0.11678346532036853,0.0592274678111588
CAID3 Disorder-PDB,0,5,0,0.0,
CAID3 Disorder-PDB,5,10,0,0.0,
CAID3 Disorder-PDB,10,15,0,0.0,
CAID3 Disorder-PDB,15,20,140,0.0014107356986668548,0.9214285714285714
CAID3 Disorder-PDB,20,25,934,0.009411622446820303,0.917558886509636
CAID3 Disorder-PDB,25,30,3132,0.031560172915889924,0.9671136653895275
CAID3 Disorder-PDB,30,35,4713,0.047491409627263476,0.9588372586462974
CAID3 Disorder-PDB,35,40,4465,0.04499239210391076,0.9397536394176932
CAID3 Disorder-PDB,40,45,3615,0.03642721107629057,0.9230982019363763
CAID3 Disorder-PDB,45,50,3197,0.03221515734741382,0.8623709727869878
CAID3 Disorder-PDB,50,55,2768,0.0278922600993561,0.8078034682080925
CAID3 Disorder-PDB,55,60,2374,0.023922046775965093,0.7388374052232519
CAID3 Disorder-PDB,60,65,2017,0.020324670744364615,0.6033713435795737
CAID3 Disorder-PDB,65,70,2155,0.02171525307590766,0.47192575406032483
CAID3 Disorder-PDB,70,75,2411,0.02429488406775562,0.3695562007465782
CAID3 Disorder-PDB,75,80,3380,0.03405919043924264,0.29201183431952665
CAID3 Disorder-PDB,80,85,5290,0.053305656042483295,0.2162570888468809
CAID3 Disorder-PDB,85,90,9453,0.09525488971069841,0.14535068232307205
CAID3 Disorder-PDB,90,95,18273,0.18413123872671028,0.06452142505335741
CAID3 Disorder-PDB,95,100,30922,0.3115912091012606,0.025160080201798073
CAID3 Disorder-NOX,0,5,2,2.0004601058243396e-05,0.0
CAID3 Disorder-NOX,5,10,20,0.00020004601058243397,0.0
CAID3 Disorder-NOX,10,15,31,0.0003100713164027726,0.0
CAID3 Disorder-NOX,15,20,269,0.0026906188423337367,0.4795539033457249
CAID3 Disorder-NOX,20,25,1922,0.019224421616971903,0.4375650364203954
CAID3 Disorder-NOX,25,30,5814,0.058153375276313556,0.478500171998624
CAID3 Disorder-NOX,30,35,8095,0.08096862278324014,0.4898085237801112
CAID3 Disorder-NOX,35,40,7637,0.0763875691409024,0.4738771769019248
CAID3 Disorder-NOX,40,45,5679,0.056803064704882125,0.5057228385279099
CAID3 Disorder-NOX,45,50,4673,0.046740750372585696,0.5082388187459876
CAID3 Disorder-NOX,50,55,3846,0.03846884783500205,0.4919396775871035
CAID3 Disorder-NOX,55,60,3290,0.03290756874081038,0.4425531914893617
CAID3 Disorder-NOX,60,65,2755,0.027556337957730277,0.3571687840290381
